38,889,14,972
29,996,8,873
7,877,524,528,963
19,903,779,48,896
17,972,14,981
16,922,328,84,858
7,729,45,149,991
21,858,60,218,636
16,935,14,937
3,936,512,765
7,787,260,962
13,979,12,951
19,922,34,73,980
29,981,331,498,765
7,870,228,63,787
17,702,55,951
15,995,19,29,775
20,929,217,965
37,996,32,152,893
8,824,23,902,948
3,980,4,935
15,988,21,127,937
37,981,123,855
3,893,20,7,912
16,835,20,136,999
21,929,27,623
7,964,118,942
16,908,36,174,925
38,860,13,914
22,858,81,943
13,900,98,636
3,989,9,939
20,972,48,255,803
3,937,34,824
15,939,46,621,714
15,992,369,702
19,886,17,787
7,797,359,860
10,948,63,31,911
7,980,303,92,963
5,893,70,982
20,992,11,2,882
15,982,70,682
13,984,18,939
23,943,11,981
15,989,522,618,974
19,682,434,107,994
35,903,33,905,992
15,870,852,37,933
58,824,0,855
15,873,165,442,956
20,989,57,195,991
37,981,307,951
16,841,490,150,636
17,851,65,214,940
20,807,22,859
8,636,0,950
25,883,10,8,807
39,940,36,841
17,914,23,922
17,987,681,414,763
25,917,20,953
3,944,98,674,917
16,982,898,56,904
19,935,11,973
16,953,161,908
58,950,139,919
20,896,48,972
29,883,38,946
13,951,12,979
15,724,311,100,922
12,948,749,964
20,914,720,167,984
16,984,18,803
16,938,41,943
10,925,65,623
25,962,278,107,765
16,998,355,324,939
16,979,44,873
35,886,441,917
15,975,581,922
20,851,2,911
22,858,30,956
15,964,4,917
33,963,810,961
13,974,13,914
20,939,18,702
8,855,27,929
39,981,300,896
13,969,18,984
23,682,434,712,975
35,763,17,922
19,998,355,991
7,714,80,893
16,995,4,980
17,900,140,989
16,974,769,872
37,996,23,925
25,623,8,973
16,815,76,950
20,765,48,808
29,623,160,938
19,841,36,220,928
16,904,32,541,942
25,992,23,914
25,989,75,800
21,800,19,460,948
22,987,37,63,886
17,994,44,141,919
20,983,736,505,978
8,999,662,463,857
39,981,33,130,883
17,969,5,964
15,944,27,623
21,972,32,908
19,815,562,128,860
17,953,475,64,858
25,943,11,775
16,873,46,946
38,903,33,550,889
15,980,4,877
19,942,381,579,835
23,815,60,983
16,964,4,995
21,833,227,166,912
13,985,232,281,903
16,951,307,53,729
19,974,577,49,979
28,858,30,956
16,993,413,913
21,914,308,624,962
36,833,60,815
7,936,5,964
36,929,27,623
19,982,48,877
8,729,278,177,872
58,803,0,824
19,904,298,589,964
38,763,414,225,953
16,870,44,860
17,985,484,61,908
35,956,442,336,980
23,998,4,803
16,988,8,870
39,889,358,854,882
20,944,692,860
20,994,7,913
17,908,250,815
19,984,17,28,896
23,922,71,946
25,896,53,498,953
36,914,59,999
16,893,622,903
35,904,120,88,979
36,972,141,662,931
71,808,197,203,985
58,855,550,889
19,913,11,944
23,913,12,752,893
16,859,712,551,877
63,950,308,690,775
33,858,60,984
19,835,20,200,729
19,933,654,900
25,807,21,866,904
63,803,581,994
25,939,905,608,938
71,972,14,95,933
71,833,63,886
25,913,12,161,908
16,912,828,77,948
47,987,37,22,965
19,870,650,541,942
59,981,11,851
13,925,129,860
19,961,206,278,729
29,807,22,965
19,951,55,660,985
16,724,662,929
21,994,408,598,857
20,946,29,978
19,938,559,592,993
15,868,12,857
23,841,36,912
15,714,10,950
19,964,21,807
25,983,207,118,942
19,912,36,127,857
17,919,312,720,914
23,870,140,989
17,882,286,825,956
20,928,7,994
73,950,36,113,833
23,982,54,872
16,714,7,808
34,963,694,931
58,999,26,765
15,991,646,851
73,803,4,917
13,911,5,797
23,912,23,803
17,911,520,843,912
19,995,12,991
35,974,70,682
23,835,20,238,724
20,969,18,933
37,623,27,944
29,913,8,712,969
38,904,75,800
38,956,142,803
63,999,26,882
25,998,4,265,936
37,883,18,385,877
17,857,12,913
37,623,8,983
29,998,33,174,943
29,917,223,52,969
71,929,44,860
39,956,63,833
22,953,20,893
17,859,75,963
20,931,662,194,787
29,943,745,434,965
21,969,175,246,714
16,975,14,787
29,989,57,138,841
74,808,7,922
56,987,509,935
39,903,33,873
74,803,450,406,872
17,925,65,807
21,765,107,998
23,933,535,504,872
36,969,18,78,914
21,851,65,77,833
23,995,4,964
16,868,23,179,961
65,981,33,815
74,833,60,623
20,911,2,872
37,807,65,763
22,908,192,201,942
25,931,11,913
25,775,9,851
38,886,63,245,729
20,857,598,186,729
39,904,796,247,973
15,978,566,278,729
37,807,318,305,808
30,917,20,807
69,981,11,775
29,962,5,993
35,951,150,636
20,882,26,908
15,936,50,992
25,995,14,944
36,851,617,434,903
19,979,12,868
29,775,44,73,702
15,877,21,873
42,917,474,82,992
78,981,33,903
36,800,75,989
21,946,545,869,948
74,950,258,317,993
15,973,11,851
40,889,181,636
35,942,381,593,944
10,937,29,77,913
29,896,9,1,946
25,815,33,994
25,912,593,131,963
8,797,41,746,868
29,815,33,873
29,995,12,868
73,999,59,996
75,950,10,988
39,886,63,948
30,913,11,981
42,889,165,988
35,984,202,815
20,965,313,228,988
29,912,593,944
74,972,5,724
57,987,101,246,714
75,803,20,222,833
30,815,60,408,973
74,929,519,222,962
37,989,246,951
38,974,70,170,911
58,636,19,995
58,797,434,965
63,824,23,546,998
21,882,48,57,946
40,956,242,507,982
13,937,779,414,841
35,961,13,974
38,984,60,962
71,800,11,931
39,763,284,373,803
20,919,683,679,859
39,974,769,441,917
63,855,0,797
34,858,562,815
71,851,9,939
63,636,216,535,963
39,996,545,501,724
19,724,39,78,914
17,937,2,969
19,993,335,815
71,969,383,201,886
22,859,24,961
20,973,67,738,974
36,994,22,938
90,929,158,903
73,824,69,331,981
40,974,70,893
23,724,39,164,857
17,893,20,702
25,835,20,861,991
74,999,662,463,857
25,933,37,904
35,938,407,238,724
39,623,8,2,702
37,775,43,927,928
67,987,575,824
85,981,11,870
37,775,772,790,998
37,989,57,520,911
22,893,622,39,981
42,974,738,325,981
58,729,45,408,994
40,903,622,893
23,993,892,164,857
49,889,471,866,900
88,981,411,402,985
47,859,50,936
29,931,354,965
29,835,16,904
20,702,73,249,928
30,943,842,919
92,929,584,150,824
35,979,778,441,917
19,868,23,576,900
23,964,749,948
90,972,27,158,973
73,636,224,50,936
23,868,12,913
26,948,844,196,903
27,948,934,129,860
42,956,267,383,937
74,800,2,702
89,981,307,979
25,868,136,841
39,807,21,787
39,623,60,980
38,979,307,925
56,859,24,875,993
21,965,434,797
36,765,10,883
21,911,879,449,900
42,943,7,994
49,956,825,136,800
74,851,65,245,914
71,987,801,466,882
29,868,290,173,893
92,972,27,114,951
39,775,11,808
30,912,210,24,979
30,998,33,981
57,859,24,961
71,914,466,584,948
40,763,24,911
16,978,24,859
39,807,145,242,956
25,922,328,84,858
20,900,428,841
34,948,869,545,946
39,860,95,891,995
16,980,73,274,946
97,929,2,882
34,963,694,884,939
42,998,33,59,979
37,896,9,851
49,974,738,348,978
25,841,58,999
16,991,355,998
21,857,850,100,938
59,623,518,893
29,939,18,702
48,917,590,740,873
25,870,11,808
53,889,36,964
16,877,21,353,922
29,870,90,463,857
37,883,743,44,979
67,859,747,572,950
19,975,13,933
73,855,98,931
15,787,759,278,803
36,946,1,994
40,940,768,797
48,943,11,870
36,882,48,259,912
89,981,123,240,877
36,911,53,729
42,763,30,993
75,803,581,466,860
73,987,37,63,928
21,702,225,378,962
36,857,21,888,962
20,937,383,235,870
19,988,103,882
74,824,34,944
23,975,143,928
75,950,184,211,904
23,935,120,953
37,896,344,999
48,998,33,963
75,824,575,987
25,935,29,270,969
53,974,23,922
30,995,795,931
47,893,80,800
25,682,129,351,946
90,833,120,953
61,974,577,49,991
39,984,60,962
40,860,354,495,803
71,911,11,943
29,933,18,883
48,917,48,972
37,939,46,261,956
37,939,884,69,824
29,841,136,919
101,929,158,98,900
92,833,77,961
65,623,8,870
23,988,8,913
63,729,402,948
13,872,25,925
39,939,453,158,903
25,993,470,225,953
76,803,18,765
19,873,21,908
74,636,68,103,988
21,928,63,956
19,877,4,935
39,989,75,963
76,950,10,857
42,815,60,518,893
75,636,216,571,964
40,886,248,851
37,931,662,684,908
30,841,5,993
23,873,814,666,872
20,985,617,451,833
21,900,866,520,911
30,835,302,146,984
69,623,432,682
90,851,2,857
25,973,418,644,714
71,859,75,73,702
41,963,38,252,763
25,988,21,437,953
39,979,421,171,935
34,858,81,948
42,913,78,991
39,775,686,129,925
42,841,414,763
29,993,43,927,978
53,956,30,993
39,896,89,925
48,815,60,983
48,841,36,816,948
48,943,7,928
61,956,205,60,939
49,917,224,73,979
71,765,24,457,989
80,950,36,964
36,702,284,107,904
42,886,441,333,964
38,961,17,787
48,913,11,935
90,800,322,871,965
39,989,57,835
41,963,694,712,964
39,961,17,787
80,950,258,175,882
40,979,778,246,714
56,893,888,311,855
73,729,402,963
29,922,23,925
38,951,926,381,943
50,963,319,120,935
42,995,14,981
74,855,27,987
29,935,69,284,702
25,944,295,142,859
74,729,278,177,702
75,824,23,419,943
19,980,438,513,855
74,765,498,953
59,807,13,933
92,851,349,150,636
65,807,13,933
52,917,474,517,950
30,870,11,981
71,946,57,232,911
19,978,630,451,833
97,972,48,917
25,982,48,896
76,824,48,808
47,953,577,47,775
74,911,2,857
75,999,136,858
40,904,32,861,991
29,992,384,402,972
63,797,0,950
29,982,48,332,936
48,913,12,149,883
71,857,2,985
57,893,20,953
21,937,779,414,841
39,996,278,840,942
69,807,13,938
75,636,0,797
56,917,441,886
21,919,47,636
42,904,16,996
25,964,5,969
16,936,50,991
59,989,504,872
98,981,11,911
29,983,8,841
78,623,46,403,965
75,999,662,463,857
29,964,712,694,989
42,835,434,965
47,908,38,841
68,974,577,49,979
49,904,120,860
73,797,5,841
49,763,172,67,889
30,982,17,940
40,961,13,912
53,763,30,139,919
53,904,210,86,944
36,937,795,931
