Epoch,Total Event,Max,Min,Mean,Std Dev
137,42,5,4,4.200000,0.421637
138,44,7,3,4.400000,1.173788
139,55,11,4,5.500000,2.068279
140,58,9,5,5.800000,1.229273
141,59,15,4,5.900000,3.314949
142,56,8,4,5.600000,1.074968
143,48,7,4,4.800000,0.918937
144,59,8,5,5.900000,1.286684
145,67,8,5,6.700000,1.059350
146,61,7,5,6.100000,0.567646
147,57,10,5,5.700000,1.567021
148,69,13,6,6.900000,2.183270
149,64,9,6,6.400000,0.966092
150,67,9,5,6.700000,1.567021
151,73,12,6,7.300000,2.057507
152,76,11,6,7.600000,1.646545
153,63,12,4,6.300000,2.359378
154,48,6,4,4.800000,0.632456
155,51,7,4,5.100000,1.100505
156,48,7,4,4.800000,0.918937
157,47,8,4,4.700000,1.251666
158,35,4,3,3.500000,0.527046
159,50,7,4,5.000000,0.942809
160,50,10,4,5.000000,1.885618
161,52,11,4,5.200000,2.149935
162,45,6,4,4.500000,0.707107
163,42,5,4,4.200000,0.421637
164,45,6,4,4.500000,0.707107
165,40,6,3,4.000000,1.054093
166,46,6,4,4.600000,0.843274
167,55,12,4,5.500000,2.505549
168,59,13,4,5.900000,2.726414
169,58,8,5,5.800000,1.032796
170,66,9,6,6.600000,1.074968
171,63,12,5,6.300000,2.359378
172,58,9,4,5.800000,1.549193
173,72,8,7,7.200000,0.421637
174,82,10,6,8.200000,1.229273
175,86,13,6,8.600000,2.633122
176,56,7,5,5.600000,0.699206
177,49,7,4,4.900000,0.994429
178,61,9,5,6.100000,1.449138
179,61,7,6,6.100000,0.316228
180,64,9,5,6.400000,1.349897
181,67,14,5,6.700000,2.750757
182,52,9,4,5.200000,1.398412
183,38,5,3,3.800000,0.632456
184,35,5,3,3.500000,0.707107
185,41,6,3,4.100000,0.994429
186,43,5,4,4.300000,0.483046
187,60,10,4,6.000000,1.632993
188,63,8,5,6.300000,1.059350
189,63,10,5,6.300000,1.766981
190,75,9,6,7.500000,1.178511
191,63,11,4,6.300000,2.162817
192,60,7,5,6.000000,0.942809
193,48,6,4,4.800000,0.788811
194,55,8,5,5.500000,0.971825
195,55,12,4,5.500000,2.415229
196,36,7,3,3.600000,1.349897
197,40,5,3,4.000000,0.471405
198,48,8,3,4.800000,1.475730
199,58,11,4,5.800000,2.043961
200,51,7,4,5.100000,1.100505
201,43,6,4,4.300000,0.674949
202,38,5,3,3.800000,0.788811
203,52,6,4,5.200000,0.632456
204,40,5,3,4.000000,0.666667
205,39,5,3,3.900000,0.737865
206,41,5,4,4.100000,0.316228
207,53,7,4,5.300000,0.823273
208,52,8,4,5.200000,1.229273
209,51,8,4,5.100000,1.100505
210,53,8,4,5.300000,1.567021
211,56,6,5,5.600000,0.516398
212,55,7,5,5.500000,0.707107
213,59,9,4,5.900000,1.791957
214,54,7,5,5.400000,0.699206
215,46,7,4,4.600000,1.074968
216,50,10,4,5.000000,1.885618
217,50,11,4,5.000000,2.211083
218,45,7,4,4.500000,0.971825
219,46,6,4,4.600000,0.699206
220,47,8,3,4.700000,1.337494
221,53,7,5,5.300000,0.674949
222,52,9,4,5.200000,1.475730
223,51,9,4,5.100000,1.523884
224,55,8,4,5.500000,1.581139
225,60,7,5,6.000000,0.816497
226,52,6,5,5.200000,0.421637
227,65,7,6,6.500000,0.527046
