Epoch,Total Event,Max,Min,Mean,Std Dev
141,59,15,4,5.9,3.314949
142,56,8,4,5.6,1.074968
143,48,7,4,4.8,0.918937
144,59,8,5,5.9,1.286684
145,67,8,5,6.7,1.05935
146,61,7,5,6.1,0.567646
147,57,10,5,5.7,1.567021
148,69,13,6,6.9,2.18327
149,64,9,6,6.4,0.966092
150,67,9,5,6.7,1.567021
151,73,12,6,7.3,2.057507
152,76,11,6,7.6,1.646545
153,63,12,4,6.3,2.359378
154,48,6,4,4.8,0.632456
155,51,7,4,5.1,1.100505
156,48,7,4,4.8,0.918937
157,47,8,4,4.7,1.251666
158,35,4,3,3.5,0.527046
159,50,7,4,5,0.942809
160,50,10,4,5,1.885618
161,52,11,4,5.2,2.149935
162,45,6,4,4.5,0.707107
163,42,5,4,4.2,0.421637
164,45,6,4,4.5,0.707107
165,40,6,3,4,1.054093
166,46,6,4,4.6,0.843274
167,55,12,4,5.5,2.505549
168,59,13,4,5.9,2.726414
169,58,8,5,5.8,1.032796
170,66,9,6,6.6,1.074968
171,63,12,5,6.3,2.359378
172,58,9,4,5.8,1.549193
173,72,8,7,7.2,0.421637
174,82,10,6,8.2,1.229273
175,86,13,6,8.6,2.633122
176,56,7,5,5.6,0.699206
177,49,7,4,4.9,0.994429
178,61,9,5,6.1,1.449138
179,61,7,6,6.1,0.316228
180,64,9,5,6.4,1.349897
181,67,14,5,6.7,2.750757
182,52,9,4,5.2,1.398412
183,38,5,3,3.8,0.632456
184,35,5,3,3.5,0.707107
185,41,6,3,4.1,0.994429
186,43,5,4,4.3,0.483046
187,60,10,4,6,1.632993
188,63,8,5,6.3,1.05935
189,63,10,5,6.3,1.766981
190,75,9,6,7.5,1.178511
191,63,11,4,6.3,2.162817
192,60,7,5,6,0.942809
193,48,6,4,4.8,0.788811
194,55,8,5,5.5,0.971825
195,55,12,4,5.5,2.415229
196,36,7,3,3.6,1.349897
197,40,5,3,4,0.471405
198,48,8,3,4.8,1.47573
199,58,11,4,5.8,2.043961
200,51,7,4,5.1,1.100505
201,43,6,4,4.3,0.674949
202,38,5,3,3.8,0.788811
203,52,6,4,5.2,0.632456
204,40,5,3,4,0.666667
205,39,5,3,3.9,0.737865
206,41,5,4,4.1,0.316228
207,53,7,4,5.3,0.823273
208,52,8,4,5.2,1.229273
209,51,8,4,5.1,1.100505
210,53,8,4,5.3,1.567021
211,56,6,5,5.6,0.516398
212,55,7,5,5.5,0.707107
213,59,9,4,5.9,1.791957
214,54,7,5,5.4,0.699206
215,46,7,4,4.6,1.074968
216,50,10,4,5,1.885618
217,50,11,4,5,2.211083
218,45,7,4,4.5,0.971825
219,46,6,4,4.6,0.699206
220,47,8,3,4.7,1.337494
221,53,7,5,5.3,0.674949
222,52,9,4,5.2,1.47573
223,51,9,4,5.1,1.523884
224,55,8,4,5.5,1.581139
225,60,7,5,6,0.816497
226,52,6,5,5.2,0.421637
227,65,7,6,6.5,0.527046
228,61,9,5,6.1,1.66333
229,71,9,6,7.1,0.875595
230,71,8,6,7.1,0.875595
231,83,12,7,8.3,1.946507
232,81,12,6,8.1,2.024846
233,67,11,6,6.7,1.567021
234,57,7,5,5.7,0.823273
235,47,5,4,4.7,0.483046
236,52,6,4,5.2,0.632456
237,62,10,5,6.2,1.686548
238,68,12,5,6.8,2.043961
239,60,8,5,6,1.054093
240,54,6,5,5.4,0.516398
241,61,7,5,6.1,0.737865
242,60,11,4,6,2.160247
243,46,6,4,4.6,0.699206
244,53,7,4,5.3,0.948683
245,54,8,4,5.4,1.173788
246,64,10,5,6.4,1.577621
