Epoch,Total Events,Max events per LP,Mean,Std Dev
451,19,2,0.102702703,0.383410388
452,1,1,0.005681818,0.075377836
453,1,1,0.005681818,0.075377836
454,1,1,0.005714286,0.075592895
455,1,1,0.005714286,0.075592895
456,9,1,0.051724138,0.22210869
457,12,2,0.068571429,0.275192126
458,13,2,0.078313253,0.33012328
459,18,2,0.107784431,0.396216141
460,1,1,0.006289308,0.079305159
461,1,1,0.006289308,0.079305159
462,15,2,0.094936709,0.314975981
463,1,1,0.006329114,0.079555728
464,1,1,0.006329114,0.079555728
465,15,2,0.095541401,0.315891889
466,1,1,0.006622517,0.081378846
467,1,1,0.006622517,0.081378846
468,1,1,0.006666667,0.081649658
469,1,1,0.006666667,0.081649658
470,2,1,0.013422819,0.115464817
471,2,1,0.013422819,0.115464817
472,8,1,0.054421769,0.227623606
473,13,3,0.089041096,0.369925116
474,9,3,0.064748201,0.323222746
475,7,2,0.051470588,0.252977907
476,8,2,0.060150376,0.268536959
477,21,8,0.159090909,0.779797835
478,33,8,0.2578125,0.924266841
479,340,8,2.575757576,1.9580377
480,2,1,0.009708738,0.09829231
481,2,1,0.009708738,0.09829231
482,8,1,0.03902439,0.194127067
483,8,1,0.038647343,0.193220299
484,8,1,0.039215686,0.194585254
485,8,1,0.03902439,0.194127067
486,1,1,0.005,0.070710678
487,1,1,0.005,0.070710678
488,12,2,0.060301508,0.277765088
489,16,2,0.078431373,0.334730964
490,19,2,0.097938144,0.330952271
491,23,2,0.117346939,0.380963828
492,1,1,0.005464481,0.073922127
493,1,1,0.005464481,0.073922127
494,1,1,0.005494505,0.074124932
495,1,1,0.005494505,0.074124932
496,10,1,0.055248619,0.229098642
497,11,1,0.06043956,0.238956812
498,1,1,0.005780347,0.076028592
499,1,1,0.005780347,0.076028592
500,13,2,0.075581395,0.306054326
501,1,1,0.005813953,0.076249285
502,15,2,0.086705202,0.338425063
503,1,1,0.006097561,0.078086881
504,1,1,0.006097561,0.078086881
505,1,1,0.006134969,0.078326045
506,1,1,0.006134969,0.078326045
